session,condition,topic,assessment_language,topic_completeness,logic_composition,expressiveness,language_mastery,complexity,vocabulary_text_linking,language_constructs,assessment_quality
7dp5uc83ssih07i9zrammmdz6yxrm578,Student,Living and studying overseas,2,4,3,3,5,3,3,3,3
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-4,International tourism is now more common than ever before (for),2,4,4,3,6,3,5,4,2
o1kt32aukcf229hga3hdxmaqe1ezwhry,Student,International tourism is now more common than ever before (for),2,2,2,3,4,3,3,4,0
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-4,International tourism is now more common than ever before (against),2,4,4,2,5,4,4,4,0
jfxrdb4vpizn9mjmtka32psmk1htgegt,Student,Will newspapers become a thing of the past?,4,5,5,4,5,5,6,6,3
9uk952ds930jytbio28ptj8c3t7qfd0y,Student,The Non-Issue of Same Sex Marriage,2,2,2,3,2,4,3,3,0
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,ChatGPT-3,Air pollution,3,5,1,4,3,4,1,1,3
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,ChatGPT-3,Should students be taught to compete or to cooperate?,1,6,5,5,6,5,5,5,0
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,Student,Living and studying overseas,1,5,6,3,6,4,5,5,1
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-4,International tourism is now more common than ever before (against),4,5,5,4,6,6,6,6,3
iidiehcofyz0c0u11g2vu3nmgpjqlj15,Student,Gender Equality at university admission,1,2,3,2,3,2,3,3,0
b5641jbn13rh3k093necyaddm2cxwhoc,ChatGPT-3,Should rich countries help poor countries?,3,6,6,5,6,6,5,5,3
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,ChatGPT-4,Will newspapers become a thing of the past?,5,6,6,5,6,6,6,6,4
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,Student,International tourism is now more common than ever before (against),4,2,4,2,3,2,3,3,2
bfb3uj06g3twa0h1oerv63pcacnffkls,ChatGPT-4,The Truth About Cannabis,5,5,5,4,6,4,5,5,3
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,Student,The Truth About Cannabis,5,5,5,5,6,5,6,6,2
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,Student,Effects of mobile phones,3,4,1,1,4,4,1,1,0
ruffupr6v7c4hcyndfmfklht33nr6r1y,Student,More people are migrating to other countries than ever before,5,1,1,1,4,4,4,4,4
tt7g5cc8q09pivcekvsfj83qnvphc0c3,Student,Technology cannot solve all the world's problems,2,2,3,3,3,5,5,5,2
fxty78tj0luhghulpp686zi9swrx64xi,ChatGPT-3,The Truth About Cannabis,2,5,5,3,5,5,5,5,2
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-3,Should rich countries help poor countries?,3,5,5,4,6,5,5,5,3
6ganr5vnayf3earis2qokj91nfkjprl1,ChatGPT-4,Locker checks,4,6,5,5,6,6,5,6,3
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,Student,More people are migrating to other countries than ever before,2,3,2,2,4,5,4,4,1
wx1ftoab40fv73rki7wvap3lfiryf598,ChatGPT-3,The Truth About Cannabis,5,5,4,5,6,5,5,5,3
a460q5wc7leq8556iqzmjpy26gunhcno,ChatGPT-4,International tourism is now more common than ever before (for),2,3,5,4,5,3,4,3,0
otoqe4kenlwd1n79qw5t6u98a78fd2wo,ChatGPT-4,Why you should exercise,3,5,5,5,6,3,5,4,2
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-3,International tourism is now more common than ever before (for),2,4,4,3,6,3,3,5,0
4uoh2nx86fnqgnkejetsvff15ade7r4p,Student,Advertisements affects on consumer goods,1,3,4,4,4,4,4,4,0
6vszxf66bcd0elzhfr99j3rio2nf3jyp,Student,Should rich countries help poor countries?,4,2,3,3,3,3,3,3,4
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,ChatGPT-3,Technology cannot solve all the world's problems,1,4,4,2,5,4,5,5,1
yhhasgbui0x5dneax62an6p0y769nhca,ChatGPT-3,International tourism is now more common than ever before (against),0,5,5,4,6,6,5,5,0
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-3,Email and text messaging threats written language,3,3,3,3,3,3,3,3,0
0srbxg98ookztl91uhlt1s9rgtbw53s4,Student,Should students be taught to compete or to cooperate?,2,5,4,4,5,5,5,6,2
as43e4efz9lqo3l3lncscyq1p9smbcxf,Student,Why you should exercise,4,5,5,4,3,3,4,4,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,Student,Museums as a form of entertainment or education?,4,5,5,4,4,5,4,3,3
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,Student,Influence Of Large Factory,3,3,4,2,3,4,1,6,0
zby0p8ese5gmn1tslotguvjz6sr6fwry,ChatGPT-3,Technology cannot solve all the world's problems,1,4,5,4,6,4,5,5,0
8276wlcpcdeplfxo6gwqscnzc4zr8zun,Student,The Truth About Cannabis,3,5,5,5,6,4,5,5,0
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,ChatGPT-4,The Truth About Cannabis,2,4,4,3,5,4,5,5,1
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-4,Everyone Should Go Camping,4,5,5,4,6,5,6,5,3
8y24o71xlukzq85g17n6ckhh09qf69pm,ChatGPT-4,The Non-Issue of Same Sex Marriage,3,5,5,3,6,5,5,5,0
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-4,Technology cannot solve all the world's problems,2,3,5,2,5,3,3,4,1
bnpk5arlgchs81ch0so6l8ult9uqyqiy,ChatGPT-4,Museums as a form of entertainment or education?,3,6,6,4,6,6,6,6,0
3ekw2nmnlpi8xlds6evadnvk99e4tznt,Student,Advertisements affects on consumer goods,5,4,5,4,5,4,4,5,3
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,The Non-Issue of Same Sex Marriage,1,3,3,3,5,5,5,4,1
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,Student,Gender Equality at university admission,1,3,3,3,3,3,3,2,2
zprb1muapmszr1s8btczu55w5y4wlxpe,ChatGPT-4,Technology cannot solve all the world's problems,4,6,6,6,6,6,6,5,4
k93jcx7ncootup27k9cukufet8klqhe4,Student,Computer replace  man power in jobs,5,4,4,4,5,4,4,4,3
5kswaykptc8x72fo2st04imj7ubd88u5,Student,Air pollution,3,3,2,3,3,2,3,3,2
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,Museums as a form of entertainment or education?,5,4,4,4,6,4,4,4,2
y1bzg8y45d9xkjk1stvizcclagbp9ah6,Student,Lessons with teachers versus others sources,2,2,2,2,3,3,4,4,1
30fw2qnkvcx4h00abgbolm59x1g1nvtc,Student,Using animals for the benefit of the human beings,2,3,2,2,2,2,2,3,3
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-4,Living and studying overseas,2,4,3,2,6,4,5,5,3
7nny3k5b3gcxjzcvauwk10ebb1zrnhkj,Student,Society should ban all forms of the advertising,3,1,2,3,1,2,1,2,0
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,ChatGPT-3,Email and text messaging threats written language,3,5,5,4,4,4,5,4,3
g0rntgh8sk4ehswu3iphviv8byk5bgad,Student,Technology cannot solve all the world's problems,4,5,5,4,6,6,6,6,3
koecf6ha05tlkkowh8eyc1hj11ptbfey,ChatGPT-3,Everyone Should Go Camping,3,5,4,4,6,5,5,5,2
kvhozafx51i5gz3bcc7h668sdiph7q02,Student,Why you should exercise,1,5,5,5,5,4,4,4,0
3abdtb3vc2w8k9u6k3bbajtd6szuifko,ChatGPT-3,Living and studying overseas,4,4,5,3,6,5,4,5,2
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-4,Financial Aid To Developing Countries,1,5,5,5,6,5,5,5,0
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-3,Young people should go to university or not,2,2,3,2,4,2,3,3,0
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-3,Society should ban all forms of the advertising,3,3,3,3,3,3,3,3,0
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-4,Air pollution,5,3,4,3,5,4,5,4,3
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-4,Air pollution,4,4,4,4,5,4,4,5,2
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-4,Should rich countries help poor countries?,1,5,5,4,6,3,5,5,1
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-4,Email and text messaging threats written language,1,5,5,4,6,5,5,4,0
dc07m79j66n4bqxowx5uw2ogib8bb1zd,Student,Museums as a form of entertainment or education?,5,4,4,4,5,4,4,4,3
69tf3g7u3j0ifyx5861asy2361cjr8gf,ChatGPT-3,Air pollution,2,4,2,3,3,2,2,3,1
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,ChatGPT-3,computer has negative effects to children,3,4,4,4,5,5,5,5,2
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,ChatGPT-3,Why you should exercise,3,5,5,5,6,6,6,6,3
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-4,Young people should go to university or not,2,5,5,5,6,4,5,5,1
2bbhl6g2uav5bt0jutfc8wuco738qag5,Student,Using animals for the benefit of the human beings,4,4,4,3,5,5,5,4,2
jfxrdb4vpizn9mjmtka32psmk1htgegt,ChatGPT-3,Young people should go to university or not,4,4,4,3,5,4,5,4,3
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,ChatGPT-4,Lessons with teachers versus others sources,2,5,5,2,6,5,6,5,3
csp5ciwsydqgtz6uq9l3a9145gcmq3as,ChatGPT-4,Advertisements affects on consumer goods,2,3,4,3,6,5,5,4,2
tt7g5cc8q09pivcekvsfj83qnvphc0c3,ChatGPT-3,Influence Of Large Factory,2,5,5,5,6,5,5,5,4
as43e4efz9lqo3l3lncscyq1p9smbcxf,ChatGPT-4,Society should ban all forms of the advertising,4,5,5,5,6,5,6,6,4
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,Student,Air pollution,3,3,4,4,3,2,3,3,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,ChatGPT-4,Society should ban all forms of the advertising,4,5,5,5,6,5,6,6,3
wjtbk547gm3kbhm2syykrda91a9koceu,ChatGPT-3,Using animals for the benefit of the human beings,4,4,4,4,6,5,5,6,3
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,Student,Email and text messaging threats written language,2,4,4,4,6,5,5,5,0
kxhdunah6ib3a2597w6f4ikbyukby99e,ChatGPT-4,Locker checks,3,5,5,3,6,6,6,6,3
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-3,Lessons with teachers versus others sources,2,5,6,5,6,5,5,5,3
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-4,Computer replace  man power in jobs,3,5,5,5,6,5,5,5,2
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,ChatGPT-3,Prepared Food,3,5,5,4,6,5,5,5,1
0j5ac1w3jqs3n4d88fxghkr996puxnzf,Student,Locker checks,2,5,5,5,5,5,5,5,2
3ekw2nmnlpi8xlds6evadnvk99e4tznt,Student,Government And Education,5,2,2,2,3,1,2,3,3
6ganr5vnayf3earis2qokj91nfkjprl1,ChatGPT-3,Prepared Food,4,6,6,6,6,5,5,5,3
9uk952ds930jytbio28ptj8c3t7qfd0y,ChatGPT-4,Effects of mobile phones,2,1,2,3,5,2,2,0,0
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-3,Giving aid to poorer countries has more negative effects than positive effect,1,3,4,4,3,3,3,3,0
5kswaykptc8x72fo2st04imj7ubd88u5,ChatGPT-3,Alternative forms of transport to alleviate traffic congestion,3,5,5,5,6,3,5,4,3
7dp5uc83ssih07i9zrammmdz6yxrm578,Student,Young people should go to university or not,2,4,4,5,5,6,5,5,3
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,Should rich countries help poor countries?,4,4,4,3,1,2,3,2,2
ruffupr6v7c4hcyndfmfklht33nr6r1y,ChatGPT-3,Influence Of Large Factory,5,5,5,4,6,5,5,5,4
wwmqz42o3int4rtr1s5ea0oycp6kerm5,ChatGPT-4,Advertisements affects on consumer goods,2,4,4,3,6,3,3,3,3
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-3,Effects of mobile phones,4,5,4,4,5,5,5,5,3
a460q5wc7leq8556iqzmjpy26gunhcno,Student,Prepared Food,2,2,2,2,2,2,3,2,0
q6pbiymk6hbriv1i7otts03k8x05w5x5,ChatGPT-3,Locker checks,1,1,3,3,4,3,3,3,1
uatb851hhhj4nslj3ocd8yo240wnqgu5,ChatGPT-4,Should rich countries help poor countries?,2,4,4,3,4,3,3,3,1
27cy61crue3numwu12qb1yjahlgx4dfo,Student,Email and text messaging threats written language,1,3,3,3,3,3,3,3,0
goy6fcxoim5ydlkiarbswih1qcqqca18,ChatGPT-3,The Non-Issue of Same Sex Marriage,2,5,5,5,6,5,5,5,2
0ynzvwvxifu3enwwv5vog2rc8via3sb4,Student,Will newspapers become a thing of the past?,2,6,5,4,6,5,6,5,1
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,Student,computer has negative effects to children,4,3,2,3,2,2,3,2,3
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,Student,Computer replace  man power in jobs,5,3,4,3,5,4,4,5,3
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,Student,Influence Of Large Factory,5,3,3,3,3,4,2,3,4
wx1ftoab40fv73rki7wvap3lfiryf598,ChatGPT-4,Prepared Food,5,6,6,6,6,6,6,6,4
yhhasgbui0x5dneax62an6p0y769nhca,Student,Financial Aid To Developing Countries,0,4,4,4,4,4,4,3,0
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-4,Influence Of Large Factory,3,5,5,5,6,5,5,5,3
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,ChatGPT-3,Effects of mobile phones,1,5,5,5,6,4,4,4,1
otoqe4kenlwd1n79qw5t6u98a78fd2wo,Student,Prepared Food,3,3,1,2,3,2,3,3,2
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,Student,Study at school or get a job?,3,4,4,4,4,4,3,4,2
2qpxkgwgxmlymjo937jx65f3dzqzisx6,Student,Locker checks,2,4,3,3,6,6,6,6,2
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-3,Advertisements affects on consumer goods,0,3,4,4,3,4,4,4,0
as43e4efz9lqo3l3lncscyq1p9smbcxf,ChatGPT-4,Gun control,4,6,6,6,6,6,6,6,4
8276wlcpcdeplfxo6gwqscnzc4zr8zun,Student,Do married women usually work? Why and why not?,3,1,3,3,4,3,3,3,1
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,Alternative forms of transport to alleviate traffic congestion,5,4,4,4,6,3,4,4,3
y1bzg8y45d9xkjk1stvizcclagbp9ah6,Student,Alternative forms of transport to alleviate traffic congestion,2,5,5,4,6,6,5,5,1
b5641jbn13rh3k093necyaddm2cxwhoc,ChatGPT-4,computer has negative effects to children,3,4,4,4,4,6,5,4,2
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,ChatGPT-3,Lessons with teachers versus others sources,4,5,5,4,6,5,5,6,3
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-4,effects of globalization (decrease in global tension),5,5,5,5,6,5,5,5,4
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,Student,Effects of mobile phones,1,5,3,2,2,2,2,3,1
flhpvtppxp5oyqksisq22okdbo74cka0,Student,Young people should go to university or not,1,3,4,2,4,5,4,4,0
9uk952ds930jytbio28ptj8c3t7qfd0y,Student,technology that widen the gap between rich and poor?,2,4,4,4,4,4,3,3,0
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,ChatGPT-4,Government And Education,1,4,4,4,5,4,4,4,2
6z2czq2ox46ouw2hdygosn0svlyq2l9l,ChatGPT-3,Will newspapers become a thing of the past?,1,5,4,4,6,6,5,5,2
6vszxf66bcd0elzhfr99j3rio2nf3jyp,ChatGPT-3,Financial Aid To Developing Countries,4,5,5,4,6,5,5,6,4
gzefi1rs5qm7904owyzotxhxc3ny9goh,ChatGPT-3,More people are migrating to other countries than ever before,4,2,3,2,6,4,5,5,3
yifwrgjzvf47cgclce78a6s9vwttz03s,Student,effects of globalization (decrease in global tension),2,2,2,1,4,2,2,3,0
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,Student,Financial Aid To Developing Countries,1,5,5,5,5,4,4,5,1
ltvxxgg19tw3faj7z0k6mkvq8g9jwegx,ChatGPT-3,computer has negative effects to children,5,5,5,5,6,5,5,6,3
5kswaykptc8x72fo2st04imj7ubd88u5,ChatGPT-4,technology that widen the gap between rich and poor?,3,6,5,6,6,5,6,5,3
8y24o71xlukzq85g17n6ckhh09qf69pm,ChatGPT-4,Do married women usually work? Why and why not?,3,4,4,3,6,4,4,5,1
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,Student,Gun control,4,3,4,3,3,2,3,3,3
l3e1dw5u4qyqqxikbnx4ojfwzz8zx20i,ChatGPT-3,Using animals for the benefit of the human beings,5,6,5,5,6,6,5,6,2
0srbxg98ookztl91uhlt1s9rgtbw53s4,ChatGPT-3,Society should ban all forms of the advertising,2,5,5,5,6,5,5,6,2
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-4,Government And Education,1,5,5,4,6,5,5,5,1
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-4,technology that widen the gap between rich and poor?,1,5,5,5,5,4,5,5,0
ccq6yh0sv33g0hhab3fqtcunap9lxrz1,Student,Do married women usually work? Why and why not?,2,4,4,3,4,3,4,4,1
69tf3g7u3j0ifyx5861asy2361cjr8gf,Student,Study at school or get a job?,2,5,4,4,4,4,4,4,3
9e29g8fljpiaqqzio6jvwh2p62k960km,ChatGPT-4,Email and text messaging threats written language,2,4,4,3,5,4,4,4,3
spi4fc3xqc8vlgepupj60e80z5ja0jql,ChatGPT-3,technology that widen the gap between rich and poor?,4,5,5,5,6,6,6,5,3
3ekw2nmnlpi8xlds6evadnvk99e4tznt,ChatGPT-3,International sporting occasions help to ease international tensions,5,5,4,4,6,5,5,5,3
9uk952ds930jytbio28ptj8c3t7qfd0y,ChatGPT-3,Government should make more effort to promote alternative sources of energy,2,3,3,3,3,3,3,3,0
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-4,Do married women usually work? Why and why not?,2,4,2,2,4,3,3,3,2
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-3,effects of globalization (decrease in global tension),4,5,5,5,6,5,5,6,3
fxty78tj0luhghulpp686zi9swrx64xi,ChatGPT-4,Influence Of Large Factory,2,5,5,5,6,5,6,5,2
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,ChatGPT-4,Lessons with teachers versus others sources,2,2,4,3,6,5,5,5,0
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-4,effects of globalization (decrease in global tension),3,3,3,3,3,3,3,3,0
k93jcx7ncootup27k9cukufet8klqhe4,ChatGPT-3,Government And Education,5,5,5,4,6,6,5,5,4
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-3,effects of globalization (decrease in global tension),1,4,3,2,6,3,4,5,1
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-4,Alternative forms of transport to alleviate traffic congestion,2,5,5,4,6,5,4,6,3
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-4,Financial Aid To Developing Countries,2,4,5,5,6,5,6,5,0
bnpk5arlgchs81ch0so6l8ult9uqyqiy,Student,Government And Education,3,4,4,3,4,3,4,3,0
bfb3uj06g3twa0h1oerv63pcacnffkls,Student,computer has negative effects to children,5,4,5,4,3,5,4,4,3
jfxrdb4vpizn9mjmtka32psmk1htgegt,ChatGPT-3,High sales reflect Power of Advertising and not the Real Need,4,4,4,4,5,4,5,4,2
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,Student,Gun control,3,4,4,3,2,2,2,2,3
vuquzx3ubk4v1zdjfplm09tndn2y6qmk,ChatGPT-3,Study at school or get a job?,3,5,4,5,5,4,5,5,2
8276wlcpcdeplfxo6gwqscnzc4zr8zun,ChatGPT-4,Paying more money is the only motivation to make employees work harder,3,6,6,6,6,5,6,5,0
zby0p8ese5gmn1tslotguvjz6sr6fwry,Student,Society should ban all forms of the advertising,1,2,4,3,3,3,3,3,1
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,ChatGPT-4,Benefits of students' unpaid work,5,5,5,5,6,5,6,6,4
kgermx9bs6qgjoj2uylwnlxuf2qmn2cx,Student,Lessons with teachers versus others sources,5,4,4,3,6,5,5,6,3
csp5ciwsydqgtz6uq9l3a9145gcmq3as,Student,High sales reflect Power of Advertising and not the Real Need,2,4,4,4,5,3,4,4,2
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-3,True Function of A University,1,2,3,4,3,3,3,3,0
as43e4efz9lqo3l3lncscyq1p9smbcxf,ChatGPT-4,Paying more money is the only motivation to make employees work harder,4,5,5,5,5,5,5,5,3
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-4,Prepared Food,2,4,5,3,6,3,5,5,1
85d01jfwme6nq0xuv81yn1jel0bsnxq6,ChatGPT-4,Living and studying overseas,3,6,5,3,5,5,6,6,2
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-3,Do married women usually work? Why and why not?,4,5,4,3,6,6,6,6,2
5kswaykptc8x72fo2st04imj7ubd88u5,ChatGPT-4,Should governments be responsible to help the unemployed and homeless,3,4,4,4,5,4,4,4,3
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-3,"Sporting events easing international tensions, releasing patriotic feelings",5,4,4,4,5,4,5,5,3
dc07m79j66n4bqxowx5uw2ogib8bb1zd,ChatGPT-4,Study at school or get a job?,5,5,4,5,5,4,4,5,3
7h4kehby4qflhzzjg13qr89hl89kr6s2,ChatGPT-3,Museums as a form of entertainment or education?,1,6,5,5,6,5,5,5,0
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-4,High sales reflect Power of Advertising and not the Real Need,2,5,5,4,4,4,5,4,1
a460q5wc7leq8556iqzmjpy26gunhcno,ChatGPT-4,Why should human beings travel to outer space?,2,5,5,4,5,5,5,5,0
1ffzqxil7h3zmumj85svnetx29uvej3o,ChatGPT-4,Everyone Should Go Camping,2,5,4,4,6,5,5,5,2
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-3,Gun control,2,4,4,3,4,3,4,4,0
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-3,Should governments be responsible to help the unemployed and homeless,2,1,2,2,3,3,3,3,0
7dp5uc83ssih07i9zrammmdz6yxrm578,ChatGPT-3,technology that widen the gap between rich and poor?,2,3,2,2,5,3,3,4,3
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-4,Young people should go to university or not,2,3,4,3,4,3,4,4,2
tv2gkmaekp405mvx55d3rsxj9fzocyn8,Student,"Sporting events easing international tensions, releasing patriotic feelings",5,4,4,4,4,4,4,4,3
yhhasgbui0x5dneax62an6p0y769nhca,Student,Benefits of students' unpaid work,0,4,4,4,6,6,4,4,0
kvhozafx51i5gz3bcc7h668sdiph7q02,Student,Giving aid to poorer countries has more negative effects than positive effect,1,2,3,3,5,4,4,4,0
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-3,Paying more money is the only motivation to make employees work harder,0,4,4,4,4,3,3,4,0
tt7g5cc8q09pivcekvsfj83qnvphc0c3,ChatGPT-4,Gun control,2,5,5,5,6,6,5,5,2
6ganr5vnayf3earis2qokj91nfkjprl1,Student,technology that widen the gap between rich and poor?,4,4,4,5,5,4,5,4,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,Student,Should governments be responsible to help the unemployed and homeless,4,2,2,2,4,2,3,3,3
6vszxf66bcd0elzhfr99j3rio2nf3jyp,ChatGPT-4,Government should make more effort to promote alternative sources of energy,4,5,5,5,6,6,6,6,4
b5641jbn13rh3k093necyaddm2cxwhoc,ChatGPT-4,"Sporting events easing international tensions, releasing patriotic feelings",3,6,6,5,6,5,5,5,3
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,ChatGPT-3,Benefits of students doing extra jobs,4,5,5,4,6,4,4,5,3
wwmqz42o3int4rtr1s5ea0oycp6kerm5,ChatGPT-3,Why should human beings travel to outer space?,2,5,4,2,3,3,3,3,2
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-4,Why should human beings travel to outer space?,4,6,5,5,6,6,6,6,3
